state,code,users,penetration
Alabama,AL,"3,092,273",65
Alaska,AK,"593,193",84
Arizona,AZ,"5,230,474",78.5
Arkansas,AR,"1,949,869",66.8
California,CA,"29,758,896",79.7
Colorado,CO,"4,058,749",79.9
Connecticut,CT,"3,074,229",86.5
Delaware,DE,"719,500",80.4
District of Columbia,DC,"463,503",76.5
Florida,FL,"14,764,418",78.8
Georgia,GA,"7,597,608",76.5
Hawaii,HI,"1,081,506",82.6
Idaho,ID,"1,284,500",82.2
Illinois,IL,"10,243,294",78.5
Indiana,IN,"4,770,355",73.5
Iowa,IA,"2,354,728",77.5
Kansas,KS,"2,248,721",78.9
Kentucky,KY,"2,997,542",68.8
Louisiana,LA,"3,071,973",67.7
Maine,ME,"1,102,933",82.8
Maryland,MD,"4,737,650",82.3
Massachusets,MA,"5,745,853",86.2
Michigan,MI,"7,899,843",78.4
Minnesota,MN,"4,370,006",82.1
Mississippi,MS,"1,769,430",59.3
Missouri,MO,"4,380,156",72.4
Montana,MT,"725,139",73.6
Nebraska,NE,"1,455,917",80.2
Nevada,NV,"2,137,074",80
New Hampshire,NH,"1,205,558",90.1
New Jersey,NJ,"7,728,426",87.8
New Mexico,NM,"1,380,358",68
New York,NY,"16,091,772",81.5
North Carolina,NC,"6,809,315",71.8
North Dakota,ND,"496,207",75.9
Ohio,OH,"8,949,773",76.7
Oklahoma,OK,"2,530,656",67.9
Oregon,OR,"3,327,971",86.1
Pennsylvania,PA,"9,909,482",77.8
Rhode Island,RI,"861,596",81
South Carolina,SC,"3,086,634",67
South Dakota,SD,"598,832",72.9
Tennessee,TN,"4,638,409",72.9
Texas,TX,"17,176,661",68.6
Utah,UT,"2,465,247",87.6
Vermont,VT,"513,123",81.7
Virginia,VA,"6,193,567",77.8
Washington,WA,"5,772,919",85.7
West Virginia,WV,"1,296,905",70.5
Wisconsin,WI,"4,744,417",83
Wyoming,WY,"436,437",79.4
,,"239,893,600",
